Value,Label
" BARANCA"," BARANCA"
"ADOLF VAN NASSAUSTRAAT","ADOLF VAN NASSAUSTRAAT"
"ADRIAAN LACLE BOULEVAR","ADRIAAN LACLE BOULEVAR"
"ADRIAAN LACLE BOULEVARD","ADRIAAN LACLE BOULEVARD"
"ALABLANCASTRAAT","ALABLANCASTRAAT"
"ALFRED DE MUSSETSTRAAT","ALFRED DE MUSSETSTRAAT"
"ALIVIOSTRAAT","ALIVIOSTRAAT"
"ALOESTRAAT","ALOESTRAAT"
"ALTO VISTA","ALTO VISTA"
"ALVAREZSTRAAT","ALVAREZSTRAAT"
"AMALIA VAN SOLMSSTRAAT","AMALIA VAN SOLMSSTRAAT"
"AMANDELSTRAAT","AMANDELSTRAAT"
"AMAZONESTRAAT","AMAZONESTRAAT"
"AMISTAD","AMISTAD"
"AMSTERDAMSTRAAT","AMSTERDAMSTRAAT"
"ANASASTRAAT","ANASASTRAAT"
"ANGLOSTRAAT","ANGLOSTRAAT"
"ANGOCHI","ANGOCHI"
"ANTIGUAWEG","ANTIGUAWEG"
"APACHESTRAAT","APACHESTRAAT"
"APELSINASTRAAT","APELSINASTRAAT"
"APOLLOSTRAAT","APOLLOSTRAAT"
"ARCHIMEDESSTRAAT","ARCHIMEDESSTRAAT"
"ARENDSTRAAT","ARENDSTRAAT"
"ARGENTINIESTRAAT","ARGENTINIESTRAAT"
"ARNHEMSTRAAT","ARNHEMSTRAAT"
"AUREOLASTRAAT","AUREOLASTRAAT"
"AVENIDA ALO TROMP","AVENIDA ALO TROMP"
"AVENIDA MILIO J. CROES","AVENIDA MILIO J. CROES"
"AVENIDA MILO J. CROES","AVENIDA MILO J. CROES"
"AVENIDA PAPA J.P II","AVENIDA PAPA J.P II"
"AVICENNASTRAAT","AVICENNASTRAAT"
"AWACATISTRAAT","AWACATISTRAAT"
"AWAKATISTRAAT","AWAKATISTRAAT"
"AYO","AYO"
"AZTEKENSTRAAT","AZTEKENSTRAAT"
"B.V/D VEEN ZEPPENFELDSTR","B.V/D VEEN ZEPPENFELDSTR"
"BABIJN","BABIJN"
"BACHSTRAAT","BACHSTRAAT"
"BACOBASTRAAT","BACOBASTRAAT"
"BAKVAL","BAKVAL"
"BALANDERSTRAAT","BALANDERSTRAAT"
"BALASHI","BALASHI"
"BALASHI W.E.B.","BALASHI W.E.B."
"BALASHI WEB","BALASHI WEB"
"BALSAMOSTRAAT","BALSAMOSTRAAT"
"BARBA DI JONCUMANSTRAA","BARBA DI JONCUMANSTRAA"
"BARBA DI YONCUMANSTR","BARBA DI YONCUMANSTR"
"BARBA DI YONCUMANSTRAAT","BARBA DI YONCUMANSTRAAT"
"BARBADOSWEG","BARBADOSWEG"
"BARCADERA","BARCADERA"
"BARCELONA","BARCELONA"
"BAZINSSTRAAT","BAZINSSTRAAT"
"BAZINSTRAAT","BAZINSTRAAT"
"BEATRIXSTRAAT","BEATRIXSTRAAT"
"BEAUJONSTRAAT","BEAUJONSTRAAT"
"BELGIESTRAAT","BELGIESTRAAT"
"BELL HILLWEG","BELL HILLWEG"
"BELLISIMASTRAAT","BELLISIMASTRAAT"
"BEREHEINSTRAAT","BEREHEINSTRAAT"
"BERMUDEZSTRAAT","BERMUDEZSTRAAT"
"BERNADETASTRAAT","BERNADETASTRAAT"
"BERNARDSTRAAT","BERNARDSTRAAT"
"BERNHARDSTRAAT","BERNHARDSTRAAT"
"BETONICASTRAAT","BETONICASTRAAT"
"BEYISIMASTRAAT","BEYISIMASTRAAT"
"BILDERDIJKSTRAAT","BILDERDIJKSTRAAT"
"BISLICKSTRAAT","BISLICKSTRAAT"
"BLAUWESTEEG","BLAUWESTEEG"
"BLENCHISTRAAT","BLENCHISTRAAT"
"BLOEMOND","BLOEMOND"
"BLUMOND","BLUMOND"
"BOEGOEROEI","BOEGOEROEI"
"BOLIVIASTRAAT","BOLIVIASTRAAT"
"BONA VISTA NOORD","BONA VISTA NOORD"
"BONTEMANTELSTRAAT","BONTEMANTELSTRAAT"
"BOOBY HILLWEG","BOOBY HILLWEG"
"BOONCHI STRENASTRAAT","BOONCHI STRENASTRAAT"
"BORANCANA","BORANCANA"
"BORONCANA","BORONCANA"
"BOTON","BOTON"
"BOTTOM HILLWEG","BOTTOM HILLWEG"
"BOUTENSSTRAAT","BOUTENSSTRAAT"
"BOUTENSTRAAT","BOUTENSTRAAT"
"BOYLESTRAAT","BOYLESTRAAT"
"BRAHMSSTRAAT","BRAHMSSTRAAT"
"BRAHMSTRAAT","BRAHMSTRAAT"
"BRANDARISWEG","BRANDARISWEG"
"BRASIL","BRASIL"
"BRASIL KAVEL","BRASIL KAVEL"
"BRAZIL","BRAZIL"
"BRAZILIESTRAAT","BRAZILIESTRAAT"
"BREBASTRAAT","BREBASTRAAT"
"BRIEZENSTRAAT","BRIEZENSTRAAT"
"BRIKSTRAAT","BRIKSTRAAT"
"BRINGAMOSA","BRINGAMOSA"
"BRUEGELSTRAAT","BRUEGELSTRAAT"
"BRUSCA","BRUSCA"
"BUBALI","BUBALI"
"BUCUTIWEG","BUCUTIWEG"
"BUENA VISTA","BUENA VISTA"
"BURUBUNDO","BURUBUNDO"
"BURUBUNDU","BURUBUNDU"
"BURUBUNO","BURUBUNO"
"BUSHIRI","BUSHIRI"
"BUSHISTRAAT","BUSHISTRAAT"
"BUTUCU","BUTUCU"
"BYERLITE","BYERLITE"
"BYRONSTRAAT","BYRONSTRAAT"
"C. HUYGENSSTRAAT","C. HUYGENSSTRAAT"
"C. SOEUR GERARDA MAJELLA","C. SOEUR GERARDA MAJELLA"
"CABUYASTRAAT","CABUYASTRAAT"
"CADUSHI LARGO","CADUSHI LARGO"
"CADUSHISTRAAT","CADUSHISTRAAT"
"CALABAS","CALABAS"
"CALABASSTRAAT","CALABASSTRAAT"
"CALBAS","CALBAS"
"CALBASSTRAAT","CALBASSTRAAT"
"CAMACURI","CAMACURI"
"CAMARISTRAAT","CAMARISTRAAT"
"CAMPANASTRAAT","CAMPANASTRAAT"
"CANASHITO","CANASHITO"
"CANOASTRAAT","CANOASTRAAT"
"CANTALOUPESTRAAT","CANTALOUPESTRAAT"
"CAOBASTRAAT","CAOBASTRAAT"
"CARIBENSTRAAT","CARIBENSTRAAT"
"CAS ARIBA","CAS ARIBA"
"CAS DI PALOMA","CAS DI PALOMA"
"CASHERO","CASHERO"
"CASHUSTRAAT","CASHUSTRAAT"
"CASIBARI","CASIBARI"
"CASTROSTRAAT","CASTROSTRAAT"
"CATASHI","CATASHI"
"CATIRI","CATIRI"
"CATUNASTRAAT","CATUNASTRAAT"
"CAYA ANGUILA","CAYA ANGUILA"
"CAYA ANGUILLA","CAYA ANGUILLA"
"CAYA APPELDAM","CAYA APPELDAM"
"CAYA ARAROET","CAYA ARAROET"
"CAYA ARARUT","CAYA ARARUT"
"CAYA BALORIAN","CAYA BALORIAN"
