,Island Name
AA,Bodufolhudhoo
AA,Feridhoo
AA,Himandhoo
AA,Maalhos
AA,Mathiveri
AA,Rasdhoo
AA,Thoddoo
AA,Ukulhas
AA,Gangehi
AA,Kandholhudhoo
AA,Kuramathi
AA,Kudafolhudhoo
AA,Mushimasgili
AA,Veligandu
AA,Fesdhoo
AA,Halaveli
AA,Maayafushi
AA,Veligan'du
AA,Ellaidhoo
AA,Velidhoo
AA,Bathalaa
AA,Madoogali
AA,Alikoirah
AA,Etheremadivaru
AA,Fusfinolhu
AA,Fushi
AA,Gaagan'du
AA,Gaathafushi
AA,Kan'dholhudoo
AA,Maagau
AA,Madivaru
AA,Madivarufinolhu
AA,Mathivereefinolhu
AA,Mushimasmigili
AA,Vihamaafaru
AA,Dhinnolhufinolhu
ADh,Dhangethi
ADh,Dhiddhoo
ADh,Dhigurah
ADh,Fenfushi
ADh,Haggnaameedhoo
ADh,Kunburudhoo
ADh,Maamingili
ADh,Mahibadhoo
ADh,Mandhoo
ADh,Omadhoo
ADh,Kuda Rah
ADh,Angaga
ADh,Rangalifinolhu
ADh,Dhiffushi
ADh,Huvahendhoo
ADh,Maafushivaru
ADh,Mirihi
ADh,Nalaguraidhoo
ADh,Vakarufalhi
ADh,Vilamendhoo
ADh,Machchafushi
ADh,Dhidhdhoofinolhu
ADh,Athurugau
ADh,Moofushi
ADh,Thundufushi
ADh,Theluveliga
ADh,Villingilivaru
ADh,Huruelhi
ADh,Kudarah
ADh,Innafushi
ADh,Hangnaameedhoo
ADh,Dhidhdhoo
ADh,Bodufinolhu
ADh,Angaagau
ADh,Ariyadhoo
ADh,Bodukaashihuraa
ADh,Bulhalohi
ADh,Dhan'gethi
ADh,Dhihdhoo
ADh,Dhihdhoofinolhu
ADh,Dhiggiri
ADh,En'boodhoo
ADh,Heenfaru
ADh,Hiyafushi
ADh,Hukurudhoo
ADh,Hurasdhoo
ADh,Kalhahan'dhihuraa
ADh,Kudadhoo
ADh,Kun'burudhoo
ADh,Lonuboi
ADh,Maamin'gili
ADh,Rangaleefinolhu
ADh,Rangali
ADh,Theluveligaa
ADh,Tholhifushi
ADh,Thun'dufushi
ADh,Vilin'gilivaru
ADh,Rahdhiggaa
ADh,Finolhu
ADh,Athulivaru finolhu
B,Dharavandhoo
B,Dhonfanu
B,Eydhafushi
B,Voavah
B,Fehendhoo
B,Fulhadhoo
B,Goidhoo
B,Hithaadhoo
B,Kendhoo
B,Kihaadhoo
B,Kudarikilu
B,Maalhos
B,Thulhaadhoo
B,Amilla Fushi
B,Dhigufaruvinagandu
B,Milaidhoo
B,Horubadhoo
B,Kanufushi
B,Thiladhoo
B,Miriandhoo
B,Vakkaru
B,Landaa Giraavaru
B,Kunfunadhoo
B,Fonimagoodhoo
B,Dhunikolhu
B,Kihaadhuffaru
B,Kihavah Huravalhi
B,Mudhdhoo
B,Olhuveli
B,Hirundhoo
B,Finolhas
B,Kamadhoo
B,Fares
B,Ahivaffushi
B,Aidhoo
B,Anhenunfushi
B,Bathalaa
B,Boadhaafushifinolhu
B,Bodufinolhu
B,Boifushi
B,Dhakandhoo
B,Dhandhoo
B,Dhashufaruhuraa
B,Dhigudhefaru
B,Dhigufaruvinagan'du
B,Dhoogan'dufinolhu
B,En'boodhoo
B,Funadhoo
B,Gaagan'dufaruhuraa
B,Gaavilin'gili
B,Gemendhoo
B,Hanifaru
B,Hanifaruhuraa
B,Hibalhidhoo
B,Hulhudhoo
B,Maaddoo Hulhudhoo
B,Innafushi
B,Kanufusheegaathufinolhu
B,Kashidhoo
B,Kashidhuffarufinolhu
B,Keyodhoo
B,Kudadhoo
B,Lan'daagiraavaru
B,Maaddoo
B,Maamaduvvari
B,Maarikilu
B,Madhirivaadhoo
B,Mathifaru
B,Medhufinolhu gaathufinolhu
B,Mendhoo
B,Muhdhoo
B,Muthaafushi
B,Nelivarufinolhu
B,Nibiligaa
B,Olhugiri
B,Ufuligiri
